dateTime, battery, fileSize, sleepiness, pressure, lux, heartRate, ppgGreen, ppgRed, ppgIR, saturation, accelerometerZ, accelerometerX, accelerometerY, gyroscopeZ, gyroscopeX, gyroscopeY
2022-05-05T21:22:13-03:00,100.0,0.00021648407,0,1021.4297,16.0,0.0,0.0,6259838.0,7194523.0,0.0,6.5696893,-1.0965444,7.323863,-0.07452556,-0.047647487,-0.36896262
2022-05-05T21:22:16-03:00,100.0,0.00037193298,0,1021.3506,4.0,0.0,1918012.0,6385203.0,7057272.0,0.0,2.5833437,-9.423578,-4.8362875,0.58276546,-2.574186,0.4361578
2022-05-05T21:22:19-03:00,100.0,0.0005273819,0,1021.49,12.0,0.0,2116115.0,6299428.0,6819678.0,0.0,-10.625467,1.9871874,0.8523358,2.3371704,1.0800097,1.0763446
2022-05-05T21:22:22-03:00,100.0,0.0006799698,0,1021.47095,12.0,137.0,2097705.0,5777941.0,6427349.0,0.0,-10.048465,-15.059528,6.3470287,-2.5668557,0.7489208,-0.30543262
2022-05-05T21:22:25-03:00,100.0,0.00084114075,0,1021.5513,0.0,139.0,2009880.0,6079344.0,6976056.0,0.0,-8.391677,-1.541866,4.783615,-0.28344148,0.37507126,-0.72326446
2022-05-05T21:22:28-03:00,100.0,0.0010004044,0,1021.3699,0.0,137.0,1616048.0,6058508.0,6743979.0,0.0,-8.137892,11.288661,-5.3366756,-0.8894198,-0.040317107,-2.2919664
2022-05-05T21:22:31-03:00,100.0,0.0011615753,0,1021.4226,0.0,140.0,1932898.0,6215863.0,6899651.0,0.0,8.865729,4.7309427,-1.0462662,-0.9053023,0.09162979,0.9309586
2022-05-05T21:22:34-03:00,100.0,0.0013189316,0,1021.52954,8.0,141.0,2072215.0,6162104.0,6697974.0,0.0,2.1045034,-5.3558292,7.989451,-0.007330383,-0.007330383,0.0036651916
2022-05-05T21:22:37-03:00,100.0,0.0014839172,0,1021.5486,8.0,142.0,2173234.0,6133230.0,6661590.0,0.0,2.1164744,-5.5521536,7.97748,-0.0012217305,-0.010995574,-0.0036651916
2022-05-05T21:22:40-03:00,100.0,0.0016489029,0,1021.5476,8.0,139.0,2190033.0,6106570.0,6631330.0,0.0,2.1547816,-5.0757074,7.7907324,0.07574729,-0.02076942,-0.0012217305
2022-05-05T21:22:43-03:00,100.0,0.0018119812,0,1021.53784,8.0,139.0,2191002.0,6068864.0,6587677.0,0.0,2.0398598,-5.3606176,7.9822683,-0.013439035,-0.010995574,0.002443461
2022-05-05T21:22:46-03:00,100.0,0.0019769669,0,1021.5674,8.0,136.0,2119275.0,6042073.0,6550096.0,0.0,2.1763294,-5.793968,7.6973586,-0.09162979,-0.009773844,0.013439035
2022-05-05T21:22:49-03:00,100.0,0.0021390915,0,1021.5679,8.0,136.0,2098396.0,6021903.0,6518637.0,0.0,1.7477672,-5.5042696,8.12592,0.065973446,0.05131268,0.030543262
2022-05-05T21:22:52-03:00,100.0,0.002298355,0,1021.5469,8.0,139.0,2121417.0,6001571.0,6492247.0,0.0,2.054225,-5.391742,8.008605,0.0,-0.0061086523,0.002443461
2022-05-05T21:22:55-03:00,100.0,0.002450943,0,1021.53516,8.0,145.0,2151124.0,5981906.0,6465061.0,0.0,1.9680338,-5.269638,8.192958,0.05375614,-0.02321288,-0.009773844
2022-05-05T21:22:58-03:00,100.0,0.0026111603,0,1021.553,8.0,145.0,2174879.0,5958181.0,6430585.0,0.0,1.7046716,-5.3821654,8.042124,0.010995574,-0.0036651916,0.002443461
2022-05-05T21:23:01-03:00,100.0,0.002773285,0,1021.44214,0.0,147.0,2153704.0,5951813.0,6521706.0,0.0,0.33279404,7.9152308,-2.44448,3.499036,0.5656612,-0.5021312
2022-05-05T21:23:04-03:00,100.0,0.0029287338,0,1021.42554,0.0,146.0,2092347.0,5864274.0,6408669.0,0.0,8.690952,-1.1109096,-0.35434186,-0.4361578,1.205848,2.003638
2022-05-05T21:23:07-03:00,100.0,0.00308609,0,1021.5615,16.0,146.0,2018710.0,5836617.0,6302413.0,0.0,3.3446999,-0.60094464,9.255983,0.042760566,-0.007330383,-0.007330383
2022-05-05T21:23:10-03:00,100.0,0.0032491684,0,1021.5676,12.0,148.0,1935133.0,5814774.0,6275130.0,0.0,3.2273839,-0.7326257,9.370906,-0.0036651916,-0.0036651916,0.0036651916
2022-05-05T21:23:13-03:00,100.0,0.0034160614,0,1021.5388,12.0,146.0,1906636.0,5811804.0,6265256.0,0.0,3.2154129,-0.6871359,9.332599,0.004886922,-0.004886922,0.002443461
2022-05-05T21:23:16-03:00,100.0,0.0035791397,0,1021.5498,16.0,144.0,1950738.0,5811493.0,6262331.0,0.0,3.2561142,-0.6488287,9.284714,-0.012217305,-0.0036651916,0.0061086523
2022-05-05T21:23:19-03:00,100.0,0.003745079,0,1021.584,16.0,139.0,2011273.0,5806867.0,6255259.0,0.0,3.335123,-1.0295067,9.136273,-0.012217305,-0.02443461,-0.0012217305
2022-05-05T21:23:22-03:00,100.0,0.0039072037,0,1021.5427,16.0,137.0,2023760.0,5791996.0,6233824.0,0.0,3.107674,-0.81642276,9.28232,-0.028099801,-0.004886922,0.009773844
2022-05-05T21:23:25-03:00,100.0,0.004070282,0,1021.5293,16.0,140.0,1993769.0,5784523.0,6222631.0,0.0,3.1675289,-0.62249243,9.25359,-0.02076942,-0.010995574,0.013439035
2022-05-05T21:23:28-03:00,100.0,0.0042324066,0,1021.4968,8.0,137.0,2020259.0,5722486.0,6180261.0,0.0,-0.91458505,3.5769374,7.431602,-0.8405506,1.3048081,-0.32375857
2022-05-05T21:23:31-03:00,100.0,0.00439167,0,1021.478,0.0,133.0,2066393.0,5695486.0,6190658.0,0.0,4.024653,8.367735,2.1859062,-0.2321288,0.2125811,0.2003638
2022-05-05T21:23:34-03:00,100.0,0.0045433044,0,1021.50977,20.0,135.0,2036422.0,5757546.0,6219615.0,0.0,0.81163436,-1.1587936,9.066842,0.5314528,-0.34330627,0.43004912
2022-05-05T21:23:37-03:00,100.0,0.0047044754,0,1021.54395,28.0,133.0,2107935.0,5768376.0,6217421.0,0.0,1.9249382,0.16759412,9.665392,0.014660766,0.0,0.0
2022-05-05T21:23:37-03:00,100.0,0.004852295,0,1021.5552,28.0,132.0,2122447.0,5763708.0,6211971.0,0.0,1.8962077,0.4261679,9.548077,0.073303826,0.007330383,-0.0012217305
2022-05-05T21:23:40-03:00,100.0,0.0050144196,0,1021.5635,28.0,131.0,2100031.0,5734684.0,6174529.0,0.0,1.5658079,-0.09816227,9.378088,-0.07819075,0.0012217305,0.056199603
2022-05-05T21:23:43-03:00,100.0,0.0051784515,0,1021.5762,28.0,132.0,2029127.0,5717362.0,6157119.0,0.0,1.9393034,0.079008654,9.648633,-0.0036651916,-0.0036651916,0.008552114
2022-05-05T21:23:46-03:00,100.0,0.0053453445,0,1021.5403,28.0,130.0,1974584.0,5774514.0,6072887.0,0.0,-6.727707,-1.7812861,6.289568,-0.87109387,0.6426302,-0.18448131
2022-05-05T21:23:49-03:00,100.0,0.005505562,0,1021.594,8.0,132.0,2144256.0,5494466.0,6015188.0,0.0,0.7493851,-0.41180268,-13.51048,4.4751987,-2.8637362,-3.5686748
2022-05-05T21:23:52-03:00,100.0,0.005662918,0,1021.5598,4.0,130.0,2221077.0,5618356.0,5974062.0,0.0,1.8004397,-2.8993783,9.478644,-0.8686504,0.034208454,-0.10995574
2022-05-05T21:23:55-03:00,100.0,0.0058221817,0,1021.5442,12.0,129.0,2069411.0,5545837.0,5876361.0,0.0,6.31351,-7.702147,19.31163,0.8881981,-0.4447099,-1.210735
2022-05-05T21:23:58-03:00,100.0,0.005976677,0,1021.49927,12.0,130.0,2215486.0,5514342.0,5932053.0,0.0,6.8330517,3.8905778,6.256049,2.1991148,-0.3042109,-0.84665924
2022-05-05T21:24:01-03:00,100.0,0.006134987,0,1021.46484,0.0,130.0,2092309.0,5455387.0,5847037.0,0.0,7.723695,5.3486466,-1.7142484,1.0299188,-1.0250319,0.12461651
2022-05-05T21:24:04-03:00,100.0,0.006292343,0,1021.5742,24.0,128.0,2109597.0,5458268.0,5784150.0,0.0,0.94570965,4.015076,8.880095,0.1600467,-1.0958922,-0.35185838
2022-05-05T21:24:07-03:00,100.0,0.0064496994,0,1021.5061,4.0,129.0,2157202.0,5497332.0,5866170.0,0.0,8.961497,2.183512,3.0454245,-1.7922786,-0.6951646,-0.312763
2022-05-05T21:24:10-03:00,100.0,0.0066051483,0,1021.5322,16.0,127.0,2033780.0,5412161.0,5822691.0,0.0,4.414908,0.6871359,8.578424,0.12339478,-0.029321533,-0.009773844
2022-05-05T21:24:13-03:00,100.0,0.0067663193,0,1021.41504,0.0,129.0,1968268.0,5490057.0,5782500.0,0.0,0.7565677,10.237606,-2.2098482,-0.7134906,-0.8002335,-0.46914452
2022-05-05T21:24:17-03:00,100.0,0.0069274902,0,1021.5017,4.0,131.0,1884795.0,5492903.0,5905381.0,0.0,1.721431,12.648567,-0.33997664,2.765998,-1.8961257,2.2467623
2022-05-05T21:24:23-03:00,100.0,0.007083893,0,1021.5261,24.0,129.0,1986918.0,5460316.0,5801227.0,0.0,3.2345665,0.107739076,9.464279,-0.047647487,0.004886922,0.014660766
2022-05-05T21:24:26-03:00,100.0,0.007246971,0,1021.5935,20.0,131.0,2026962.0,5919895.0,6233545.0,0.0,3.2800562,-1.3623008,9.124303,0.012217305,0.014660766,0.09773844
2022-05-05T21:24:29-03:00,100.0,0.0074071884,0,1021.5488,28.0,132.0,2071645.0,5914352.0,6225620.0,0.0,3.1531637,-1.4149733,9.354146,-0.0012217305,-0.0012217305,0.009773844
2022-05-05T21:24:32-03:00,100.0,0.0075731277,0,1021.56616,28.0,134.0,2070754.0,5903946.0,6222496.0,0.0,3.4356794,-1.2425907,9.100361,-0.05497787,-0.02076942,-0.015882496
2022-05-05T21:24:35-03:00,100.0,0.0077371597,0,1021.57715,32.0,136.0,2074157.0,5902555.0,6220808.0,0.0,3.2704794,-1.2401965,9.239224,-0.004886922,0.0,-0.0012217305
2022-05-05T21:24:38-03:00,99.0,0.00789547,0,1021.5747,32.0,136.0,2076372.0,5904857.0,6217125.0,0.0,3.2345665,-1.412579,9.212888,0.007330383,-0.017104227,0.0036651916
2022-05-05T21:24:41-03:00,99.0,0.008055687,0,1021.5679,32.0,135.0,2075761.0,5907842.0,6219485.0,0.0,3.13401,-1.3790601,9.289502,0.015882496,-0.009773844,-0.002443461
2022-05-05T21:24:44-03:00,99.0,0.008215904,0,1021.5571,32.0,133.0,2104219.0,5905683.0,6218794.0,0.0,3.2441432,-1.4389153,9.263166,0.047647487,-0.017104227,0.002443461
2022-05-05T21:24:47-03:00,99.0,0.008377075,0,1021.5325,0.0,133.0,2048856.0,5761561.0,6211343.0,0.0,-0.90979666,6.7923503,6.703765,-0.20647246,-0.10629055,-0.23457226
2022-05-05T21:24:50-03:00,99.0,0.0085372925,0,1021.57153,36.0,132.0,1889796.0,5964502.0,6216541.0,0.0,2.4349031,-1.3192052,9.528923,-0.019547688,0.007330383,0.007330383
2022-05-05T21:24:53-03:00,99.0,0.008701324,0,1021.5112,8.0,133.0,2015036.0,5906863.0,6290737.0,0.0,-3.2130187,5.7125654,11.224017,0.50823987,0.7257079,-0.44959682
2022-05-05T21:24:56-03:00,99.0,0.008858681,0,1021.562,24.0,131.0,2111366.0,5797559.0,6241996.0,0.0,-3.0502129,-4.5537715,9.406818,0.5204572,-0.02687807,0.39706242
2022-05-05T21:24:59-03:00,99.0,0.009016037,0,1021.55566,16.0,130.0,2082528.0,5920820.0,6161872.0,0.0,3.040636,2.0614076,9.176975,-0.04520403,-0.13072516,0.10751228
2022-05-05T21:25:02-03:00,99.0,0.009174347,0,1021.5696,16.0,131.0,2279243.0,5897886.0,6129794.0,0.0,2.4396915,-0.038307227,9.92636,-0.32742378,0.26145032,0.55833083
2022-05-05T21:25:05-03:00,99.0,0.009333611,0,1021.50244,4.0,131.0,2246292.0,5918674.0,6159278.0,0.0,8.920795,1.5490485,3.5458126,0.039095376,-0.39828414,-0.19425514
2022-05-05T21:25:08-03:00,99.0,0.009492874,0,1021.5884,36.0,129.0,2162945.0,5884872.0,6136012.0,0.0,3.6607344,-1.8363527,8.939949,-0.02443461,0.009773844,0.015882496
