dateTime,battery,fileSize,pressure,lux,heartRate,ecg,ppgGreen,ppgRed,ppgIR,saturation,accelerometerZ,accelerometerX,accelerometerY,gyroscopeZ,gyroscopeX,gyroscopeY
2022-03-17T15:04:42-03:00,57.0,0.0041122437,914.7363,300.0,86.0,0.0,0.0,6160788.0,6288627.0,0.0,-1.8028339,-0.8619126,9.579201,-0.0012217305,-0.002443461,0.02565634
2022-03-17T15:04:42-03:00,57.0,0.0042696,914.7612,304.0,86.0,0.0,0.0,6160867.0,6288964.0,0.0,-1.8028339,-0.8619126,9.579201,-0.0012217305,-0.002443461,0.02565634
2022-03-17T15:04:42-03:00,57.0,0.004424095,914.7612,304.0,86.0,0.0,0.0,6161630.0,6289401.0,0.0,-1.8028339,-0.8619126,9.579201,-0.0012217305,-0.002443461,0.02565634
2022-03-17T15:04:42-03:00,57.0,0.0045804977,914.7612,304.0,86.0,0.0,0.0,6162192.0,6289598.0,0.0,-1.7310078,-0.8571242,9.607931,-0.018325957,-0.0012217305,-0.0061086523
2022-03-17T15:04:42-03:00,57.0,0.004740715,914.7612,304.0,86.0,0.0,0.0,6163629.0,6289403.0,0.0,-1.7310078,-0.8571242,9.607931,-0.018325957,-0.0012217305,-0.0061086523
2022-03-17T15:04:42-03:00,57.0,0.0048999786,914.7737,304.0,86.0,0.0,0.0,6164603.0,6290827.0,0.0,-1.7310078,-0.8571242,9.607931,-0.018325957,-0.0012217305,-0.0061086523
2022-03-17T15:04:42-03:00,57.0,0.005060196,914.7737,304.0,86.0,0.0,0.0,6165888.0,6291187.0,0.0,-1.6783354,-0.89782566,9.6845455,-0.013439035,0.0061086523,-0.009773844
2022-03-17T15:04:42-03:00,57.0,0.0052194595,914.7737,304.0,86.0,0.0,0.0,6166803.0,6292100.0,0.0,-1.6783354,-0.89782566,9.6845455,-0.013439035,0.0061086523,-0.009773844
2022-03-17T15:04:42-03:00,57.0,0.005379677,914.7737,304.0,86.0,0.0,0.0,6167209.0,6292206.0,0.0,-1.6783354,-0.89782566,9.6845455,-0.013439035,0.0061086523,-0.009773844
2022-03-17T15:04:42-03:00,57.0,0.0055389404,914.78125,300.0,86.0,0.0,0.0,6167196.0,6291797.0,0.0,-1.6903064,-1.0726024,9.619903,-0.008552114,-0.0036651916,0.0061086523
2022-03-17T15:04:42-03:00,57.0,0.0056991577,914.78125,300.0,86.0,0.0,0.0,6166460.0,6290700.0,0.0,-1.6903064,-1.0726024,9.619903,-0.008552114,-0.0036651916,0.0061086523
2022-03-17T15:04:42-03:00,57.0,0.005859375,914.78125,300.0,86.0,0.0,0.0,6166634.0,6290169.0,0.0,-1.6903064,-1.0726024,9.619903,-0.008552114,-0.0036651916,0.0061086523
2022-03-17T15:04:42-03:00,57.0,0.0060186386,914.77954,304.0,86.0,0.0,0.0,6166888.0,6290484.0,0.0,-1.6376339,-1.0223241,9.598354,-0.010995574,0.0012217305,-0.0036651916
2022-03-17T15:04:43-03:00,57.0,0.006178856,914.77954,304.0,86.0,0.0,0.0,6166969.0,6290166.0,0.0,-1.6376339,-1.0223241,9.598354,-0.010995574,0.0012217305,-0.0036651916
2022-03-17T15:04:43-03:00,57.0,0.0063381195,914.77954,304.0,0.0,0.0,0.0,6166920.0,6290314.0,0.0,-1.6376339,-1.0223241,9.598354,-0.010995574,0.0012217305,-0.0036651916
2022-03-17T15:04:43-03:00,57.0,0.006497383,914.77954,304.0,0.0,0.0,0.0,6167772.0,6290809.0,0.0,-1.8435353,-0.9911995,9.591172,0.002443461,0.007330383,0.0061086523
2022-03-17T15:04:43-03:00,57.0,0.006652832,914.7876,304.0,0.0,0.0,0.0,6168374.0,6290566.0,0.0,-1.8435353,-0.9911995,9.591172,0.002443461,0.007330383,0.0061086523
2022-03-17T15:04:43-03:00,57.0,0.0068073273,914.7876,304.0,0.0,0.0,0.0,6168433.0,6290711.0,0.0,-1.8435353,-0.9911995,9.591172,0.002443461,0.007330383,0.0061086523
2022-03-17T15:04:43-03:00,57.0,0.006962776,914.7876,304.0,0.0,0.0,0.0,6168930.0,6290844.0,0.0,-1.7764976,-0.9959879,9.794679,0.012217305,0.0012217305,-0.002443461
2022-03-17T15:04:43-03:00,57.0,0.007118225,914.7876,304.0,0.0,0.0,0.0,6169450.0,6291171.0,0.0,-1.7764976,-0.9959879,9.794679,0.012217305,0.0012217305,-0.002443461
2022-03-17T15:04:43-03:00,57.0,0.007273674,914.75977,304.0,0.0,0.0,0.0,6169943.0,6291475.0,0.0,-1.7764976,-0.9959879,9.794679,0.012217305,0.0012217305,-0.002443461
2022-03-17T15:04:43-03:00,57.0,0.0074300766,914.75977,304.0,0.0,0.0,0.0,6170330.0,6291689.0,0.0,-1.7381904,-0.9768343,9.64145,-0.047647487,0.0036651916,-0.010995574
2022-03-17T15:04:43-03:00,57.0,0.007587433,914.75977,304.0,0.0,0.0,0.0,6170105.0,6291081.0,0.0,-1.7381904,-0.9768343,9.64145,-0.047647487,0.0036651916,-0.010995574
2022-03-17T15:04:43-03:00,57.0,0.0077438354,914.75977,304.0,0.0,0.0,0.0,6169470.0,6290601.0,0.0,-1.7381904,-0.9768343,9.64145,-0.047647487,0.0036651916,-0.010995574
2022-03-17T15:04:43-03:00,57.0,0.007901192,914.781,304.0,0.0,0.0,0.0,6169833.0,6290351.0,0.0,-1.7501614,-0.9720459,9.655815,0.012217305,-0.008552114,0.019547688
2022-03-17T15:04:43-03:00,57.0,0.008054733,914.781,304.0,0.0,0.0,0.0,6170371.0,6290585.0,0.0,-1.7501614,-0.9720459,9.655815,0.012217305,-0.008552114,0.019547688
2022-03-17T15:04:43-03:00,57.0,0.008208275,914.781,304.0,0.0,0.0,0.0,6170717.0,6291037.0,0.0,-1.7501614,-0.9720459,9.655815,0.012217305,-0.008552114,0.019547688
2022-03-17T15:04:43-03:00,57.0,0.008361816,914.781,304.0,0.0,0.0,0.0,6171535.0,6291324.0,0.0,-1.70946,-0.9983821,9.619903,-0.015882496,0.0061086523,-0.0061086523
2022-03-17T15:04:43-03:00,57.0,0.008516312,914.74634,304.0,0.0,0.0,0.0,6170860.0,6291164.0,0.0,-1.70946,-0.9983821,9.619903,-0.015882496,0.0061086523,-0.0061086523
